Datum,Prijs per MWh
2022-07-13,131.671
2022-07-14,126.83
2022-07-15,117.687
2022-07-18,118.373
2022-07-19,117.867
2022-07-20,120.808
2022-07-21,119.23
2022-07-22,123.626
2022-07-25,128.46
2022-07-26,138.667
2022-07-27,132.28
2022-07-28,133.389
2022-07-29,136.338
2022-08-01,144.771
2022-08-02,148.398
2022-08-03,150.669
2022-08-04,151.86
2022-08-05,153.293
2022-08-08,154.453
2022-08-09,159.73
2022-08-10,172.141
2022-08-11,185.308
2022-08-12,185.299
2022-08-15,192.816
2022-08-16,199.331
2022-08-17,201.085
2022-08-18,214.947
2022-08-19,223.545
2022-08-22,243.277
2022-08-23,236.984
2022-08-24,255.972
2022-08-25,280.015
2022-08-26,300.094
2022-08-29,252.225
2022-08-30,212.881
2022-08-31,176.5
2022-09-01,178.263
2022-09-02,168.531
2022-09-05,191.844
2022-09-06,200.202
2022-09-07,192.88
2022-09-08,198.913
2022-09-09,183.55
2022-09-12,169.803
2022-09-13,170.525
2022-09-14,186.734
2022-09-15,196.205
2022-09-16,172.123
2022-09-19,168.291
2022-09-20,177.464
2022-09-21,179.65
2022-09-22,178.294
2022-09-23,177.643
2022-09-26,173.37
2022-09-27,183.496
2022-09-28,201.319
2022-09-29,182.134
2022-09-30,177.704
2022-10-03,163.657
2022-10-04,158.043
2022-10-05,169.476
2022-10-06,172.127
2022-10-07,162.027
2022-10-10,166.606
2022-10-11,168.149
2022-10-12,160.985
2022-10-13,152.63
2022-10-14,151.041
2022-10-17,148.123
2022-10-18,139.123
2022-10-19,136.776
2022-10-20,152.788
2022-10-21,146.156
2022-10-24,139.719
2022-10-25,139.011
2022-10-26,136.143
2022-10-27,138.576
2022-10-28,141.309
2022-10-31,129.123
2022-11-01,122.604
2022-11-02,130.036
2022-11-03,129.484
2022-11-04,123.276
2022-11-07,121.367
2022-11-08,126.056
2022-11-09,120.083
2022-11-10,121.332
2022-11-11,108.266
2022-11-14,119.461
2022-11-15,128.51
2022-11-16,120.994
2022-11-17,120.857
2022-11-18,122.879
2022-11-21,123.574
2022-11-22,128.859
2022-11-23,134.639
2022-11-24,130.403
2022-11-25,131.194
2022-11-28,129.181
2022-11-29,135.948
2022-11-30,144.847
2022-12-01,140.522
2022-12-02,138.386
2022-12-05,136.563
2022-12-06,139.813
2022-12-07,149.585
2022-12-08,140.147
2022-12-09,140.704
2022-12-12,138.85
2022-12-13,138.243
2022-12-14,131.656
2022-12-15,133.637
2022-12-16,116.665
2022-12-19,110.483
2022-12-20,108.423
2022-12-21,101.119
2022-12-22,95.075
2022-12-23,89.49
2022-12-27,86.298
2022-12-28,87.604
2022-12-29,88.853
2022-12-30,80.499
2023-01-02,82.354
2023-01-03,77.48
2023-01-04,69.414
2023-01-05,75.443
2023-01-06,74.085
2023-01-09,77.646
2023-01-10,74.002
2023-01-11,69.515
2023-01-12,70.274
2023-01-13,67.067
2023-01-16,58.455
2023-01-17,62.744
2023-01-18,63.664
2023-01-19,63.242
2023-01-20,68.735
2023-01-23,68.515
2023-01-24,60.463
2023-01-25,58.897
2023-01-26,57.403
2023-01-27,57.083
2023-01-30,57.464
2023-01-31,59.786
2023-02-01,62.137
2023-02-02,60.051
2023-02-03,60.645
2023-02-06,60.424
2023-02-07,57.995
2023-02-08,56.469
2023-02-09,55.455
2023-02-10,56.09
2023-02-13,53.767
2023-02-14,53.792
2023-02-15,55.634
2023-02-16,53.66
2023-02-17,51.149
2023-02-20,51.003
2023-02-21,49.532
2023-02-22,50.895
2023-02-23,51.439
2023-02-24,51.876
2023-02-27,48.591
2023-02-28,47.828
2023-03-01,48.128
2023-03-02,47.745
2023-03-03,45.985
2023-03-06,43.481
2023-03-07,44.545
2023-03-08,43.597
2023-03-09,44.886
2023-03-10,53.485
2023-03-13,50.594
2023-03-14,45.436
2023-03-15,44.191
2023-03-16,45.592
2023-03-17,44.331
2023-03-20,40.801
2023-03-21,43.766
2023-03-22,41.739
2023-03-23,44.4
2023-03-24,42.707
2023-03-27,43.528
2023-03-28,43.707
2023-03-29,43.394
2023-03-30,44.564
2023-03-31,48.892
2023-04-03,52.68
2023-04-04,48.352
2023-04-05,46.02
2023-04-06,44.43
2023-04-10,44.43
2023-04-11,45.517
2023-04-12,44.644
2023-04-13,43.729
2023-04-14,42.877
2023-04-17,42.77
2023-04-18,44.208
2023-04-19,41.83
2023-04-20,42.085
2023-04-21,41.74
2023-04-24,41.306
2023-04-25,41.22
2023-04-26,39.864
2023-04-27,40.515
2023-04-28,39.949
2023-05-01,40.311
2023-05-02,38.781
2023-05-03,37.959
2023-05-04,37.005
2023-05-05,37.993
2023-05-08,38.276
2023-05-09,37.551
2023-05-10,36.597
2023-05-11,36.58
2023-05-12,34.235
2023-05-15,33.537
2023-05-16,33.067
2023-05-17,33.386
2023-05-18,31.129
2023-05-19,31.489
2023-05-22,31.406
2023-05-23,31.012
2023-05-24,30.011
2023-05-25,27.843
2023-05-26,26.537
2023-05-29,26.511
2023-05-30,26.731
2023-05-31,28.223
2023-06-01,24.637
2023-06-02,25.193
2023-06-05,29.504
2023-06-06,25.958
2023-06-07,27.223
2023-06-08,27.92
2023-06-09,32.827
2023-06-12,31.981
2023-06-13,36.637
2023-06-14,38.678
2023-06-15,41.45
2023-06-16,35.412
2023-06-19,35.369
2023-06-20,39.109
2023-06-21,37.062
2023-06-22,34.333
2023-06-23,32.902
2023-06-26,32.455
2023-06-27,34.774
2023-06-28,34.321
2023-06-29,35.335
2023-06-30,37.103
2023-07-03,33.929
2023-07-04,35.41
2023-07-05,34.373
2023-07-06,32.348
2023-07-07,33.478
2023-07-10,30.227
2023-07-11,29.061
2023-07-12,26.639
2023-07-13,26.607
2023-07-14,25.957
