Date,Zweedse kroon
2016-10-12,9.7318
2016-10-13,9.7365
2016-10-14,9.7068
2016-10-17,9.7028
2016-10-18,9.7025
2016-10-19,9.698
2016-10-20,9.704
2016-10-21,9.6913
2016-10-24,9.705
2016-10-25,9.718
2016-10-26,9.7368
2016-10-27,9.815
2016-10-28,9.862
2016-10-31,9.865
2016-11-01,9.88
2016-11-02,9.891
2016-11-03,9.9068
2016-11-04,9.963
2016-11-07,9.9833
2016-11-08,9.9185
2016-11-09,10.0025
2016-11-10,9.909
2016-11-11,9.861
2016-11-14,9.8095
2016-11-15,9.851
2016-11-16,9.8328
2016-11-17,9.8368
2016-11-18,9.8243
2016-11-21,9.8145
2016-11-22,9.7973
2016-11-23,9.7863
2016-11-24,9.7658
2016-11-25,9.784
2016-11-28,9.7798
2016-11-29,9.7668
2016-11-30,9.7538
2016-12-01,9.7935
2016-12-02,9.7983
2016-12-05,9.8015
2016-12-06,9.803
2016-12-07,9.7735
2016-12-08,9.7228
2016-12-09,9.691
2016-12-12,9.7445
2016-12-13,9.718
2016-12-14,9.7553
2016-12-15,9.7688
2016-12-16,9.789
2016-12-19,9.78
2016-12-20,9.7265
2016-12-21,9.6385
2016-12-22,9.6008
2016-12-23,9.646
2016-12-27,9.6588
2016-12-28,9.5783
2016-12-29,9.5585
2016-12-30,9.5525
2017-01-02,9.5438
2017-01-03,9.5348
2017-01-04,9.5238
2017-01-05,9.5341
2017-01-06,9.5515
2017-01-09,9.5533
2017-01-10,9.5595
2017-01-11,9.5695
2017-01-12,9.509
2017-01-13,9.4875
2017-01-16,9.483
2017-01-17,9.5033
2017-01-18,9.5328
2017-01-19,9.5478
2017-01-20,9.5073
2017-01-23,9.5113
2017-01-24,9.4985
2017-01-25,9.4833
2017-01-26,9.466
2017-01-27,9.4528
2017-01-30,9.439
2017-01-31,9.4505
2017-02-01,9.4253
2017-02-02,9.4183
2017-02-03,9.442
2017-02-06,9.4605
2017-02-07,9.481
2017-02-08,9.4523
2017-02-09,9.4835
2017-02-10,9.4873
2017-02-13,9.478
2017-02-14,9.4653
2017-02-15,9.4508
2017-02-16,9.4748
2017-02-17,9.4478
2017-02-20,9.4785
2017-02-21,9.469
2017-02-22,9.47
2017-02-23,9.4975
2017-02-24,9.5188
2017-02-27,9.5548
2017-02-28,9.5675
2017-03-01,9.5268
2017-03-02,9.5195
2017-03-03,9.5375
2017-03-06,9.5335
2017-03-07,9.5218
2017-03-08,9.5223
2017-03-09,9.5525
2017-03-10,9.5778
2017-03-13,9.5645
2017-03-14,9.4968
2017-03-15,9.5603
2017-03-16,9.4838
2017-03-17,9.461
2017-03-20,9.5078
2017-03-21,9.4923
2017-03-22,9.5105
2017-03-23,9.5095
2017-03-24,9.5373
2017-03-27,9.5503
2017-03-28,9.5318
2017-03-29,9.5505
2017-03-30,9.5623
2017-03-31,9.5322
2017-04-03,9.5145
2017-04-04,9.61
2017-04-05,9.5748
2017-04-06,9.5895
2017-04-07,9.5963
2017-04-10,9.6098
2017-04-11,9.5915
2017-04-12,9.5553
2017-04-13,9.582
2017-04-18,9.5908
2017-04-19,9.6195
2017-04-20,9.6203
2017-04-21,9.639
2017-04-24,9.5825
2017-04-25,9.601
2017-04-26,9.5605
2017-04-27,9.6244
2017-04-28,9.6318
2017-05-02,9.629
2017-05-03,9.6273
2017-05-04,9.6438
2017-05-05,9.6865
2017-05-08,9.659
2017-05-09,9.6698
2017-05-10,9.699
2017-05-11,9.6478
2017-05-12,9.6673
2017-05-15,9.6733
2017-05-16,9.7215
2017-05-17,9.7573
2017-05-18,9.7655
2017-05-19,9.7893
2017-05-22,9.7895
2017-05-23,9.7403
2017-05-24,9.7418
2017-05-25,9.7275
2017-05-26,9.7275
2017-05-29,9.7248
2017-05-30,9.7688
2017-05-31,9.7558
2017-06-01,9.776
2017-06-02,9.7433
2017-06-05,9.7448
2017-06-06,9.7503
2017-06-07,9.7953
2017-06-08,9.7885
2017-06-09,9.7615
2017-06-12,9.7803
2017-06-13,9.7443
2017-06-14,9.7448
2017-06-15,9.7278
2017-06-16,9.737
2017-06-19,9.7443
2017-06-20,9.7575
2017-06-21,9.7808
2017-06-22,9.7683
2017-06-23,9.77
2017-06-26,9.7618
2017-06-27,9.7678
2017-06-28,9.778
2017-06-29,9.7215
2017-06-30,9.6398
2017-07-03,9.6358
2017-07-04,9.6735
2017-07-05,9.6243
2017-07-06,9.631
2017-07-07,9.6155
2017-07-10,9.6175
2017-07-11,9.639
2017-07-12,9.635
2017-07-13,9.543
2017-07-14,9.5333
2017-07-17,9.54
2017-07-18,9.5658
2017-07-19,9.5598
2017-07-20,9.5678
2017-07-21,9.6193
2017-07-24,9.5883
2017-07-25,9.5545
2017-07-26,9.5705
2017-07-27,9.582
2017-07-28,9.5355
2017-07-31,9.5423
2017-08-01,9.5563
2017-08-02,9.5918
2017-08-03,9.6093
2017-08-04,9.6053
2017-08-07,9.6175
2017-08-08,9.598
2017-08-09,9.621
2017-08-10,9.568
2017-08-11,9.6083
2017-08-14,9.5665
2017-08-15,9.4835
2017-08-16,9.482
2017-08-17,9.5088
2017-08-18,9.537
2017-08-21,9.5173
2017-08-22,9.539
2017-08-23,9.5455
2017-08-24,9.5118
2017-08-25,9.5053
2017-08-28,9.5155
2017-08-29,9.5363
2017-08-30,9.5095
2017-08-31,9.4818
2017-09-01,9.4778
2017-09-04,9.4733
2017-09-05,9.469
2017-09-06,9.501
2017-09-07,9.5263
2017-09-08,9.5388
2017-09-11,9.5705
2017-09-12,9.5355
2017-09-13,9.5475
2017-09-14,9.5345
2017-09-15,9.5058
2017-09-18,9.5145
2017-09-19,9.5261
2017-09-20,9.5335
2017-09-21,9.5135
2017-09-22,9.5358
2017-09-25,9.5325
2017-09-26,9.5473
2017-09-27,9.5885
2017-09-28,9.58
2017-09-29,9.649
2017-10-02,9.6055
2017-10-03,9.5675
2017-10-04,9.5425
2017-10-05,9.5195
2017-10-06,9.5418
2017-10-09,9.5348
2017-10-10,9.5265
2017-10-11,9.5313
2017-10-12,9.5883
2017-10-13,9.605
2017-10-16,9.5885
2017-10-17,9.5813
2017-10-18,9.5945
2017-10-19,9.6445
2017-10-20,9.6445
2017-10-23,9.644
2017-10-24,9.6475
2017-10-25,9.6858
2017-10-26,9.7218
2017-10-27,9.739
2017-10-30,9.709
2017-10-31,9.7415
2017-11-01,9.7535
2017-11-02,9.7615
2017-11-03,9.7912
2017-11-06,9.7683
2017-11-07,9.7443
2017-11-08,9.7288
2017-11-09,9.7355
2017-11-10,9.743
2017-11-13,9.7705
2017-11-14,9.8905
2017-11-15,9.9728
2017-11-16,9.8868
2017-11-17,9.9443
2017-11-20,9.9585
2017-11-21,9.9473
2017-11-22,9.8818
2017-11-23,9.844
2017-11-24,9.8638
2017-11-27,9.926
2017-11-28,9.906
2017-11-29,9.915
2017-11-30,9.9208
2017-12-01,9.9487
2017-12-04,9.9635
2017-12-05,9.968
2017-12-06,9.9265
2017-12-07,9.9558
2017-12-08,9.977
2017-12-11,10.016
2017-12-12,9.9328
2017-12-13,9.906
2017-12-14,9.9488
2017-12-15,9.9583
2017-12-18,9.9588
2017-12-19,9.9508
2017-12-20,9.9128
2017-12-21,9.9844
2017-12-22,9.9327
2017-12-27,9.8727
2017-12-28,9.8452
2017-12-29,9.8438
2018-01-02,9.8283
2018-01-03,9.825
2018-01-04,9.822
2018-01-05,9.8318
2018-01-08,9.8165
2018-01-09,9.8288
2018-01-10,9.811
2018-01-11,9.8203
2018-01-12,9.835
2018-01-15,9.8335
2018-01-16,9.8228
2018-01-17,9.8425
2018-01-18,9.8305
2018-01-19,9.8333
2018-01-22,9.834
2018-01-23,9.8443
2018-01-24,9.8323
2018-01-25,9.8188
2018-01-26,9.8005
2018-01-29,9.7823
2018-01-30,9.7825
2018-01-31,9.7645
2018-02-01,9.803
2018-02-02,9.8223
2018-02-05,9.8338
2018-02-06,9.8685
2018-02-07,9.8585
2018-02-08,9.8968
2018-02-09,9.9448
2018-02-12,9.9195
2018-02-13,9.9388
2018-02-14,9.9305
2018-02-15,9.918
2018-02-16,9.914
2018-02-19,9.9155
2018-02-20,9.9688
2018-02-21,9.9648
2018-02-22,9.9963
2018-02-23,10.0583
2018-02-26,10.0435
2018-02-27,10.08
2018-02-28,10.0923
2018-03-01,10.1185
2018-03-02,10.1643
2018-03-05,10.1683
2018-03-06,10.1835
2018-03-07,10.2383
2018-03-08,10.2173
2018-03-09,10.1648
2018-03-12,10.1563
2018-03-13,10.1568
2018-03-14,10.1255
2018-03-15,10.0943
2018-03-16,10.0795
2018-03-19,10.0838
2018-03-20,10.0563
2018-03-21,10.0883
2018-03-22,10.12
2018-03-23,10.1943
2018-03-26,10.1868
2018-03-27,10.2156
2018-03-28,10.28
2018-03-29,10.2843
2018-04-03,10.2968
2018-04-04,10.3175
2018-04-05,10.314
2018-04-06,10.2983
2018-04-09,10.296
2018-04-10,10.2855
2018-04-11,10.2863
2018-04-12,10.3723
2018-04-13,10.3798
2018-04-16,10.4045
2018-04-17,10.3913
2018-04-18,10.4033
2018-04-19,10.3778
2018-04-20,10.3703
2018-04-23,10.3763
2018-04-24,10.3775
2018-04-25,10.422
2018-04-26,10.4478
2018-04-27,10.5178
2018-04-30,10.4993
2018-05-02,10.6174
2018-05-03,10.6045
2018-05-04,10.5715
2018-05-07,10.5383
2018-05-08,10.476
2018-05-09,10.3473
2018-05-10,10.315
2018-05-11,10.2635
2018-05-14,10.2958
2018-05-15,10.2928
2018-05-16,10.2903
2018-05-17,10.295
2018-05-18,10.3073
2018-05-21,10.2555
2018-05-22,10.2158
2018-05-23,10.2906
2018-05-24,10.2518
2018-05-25,10.1922
2018-05-28,10.2373
2018-05-29,10.3173
2018-05-30,10.2783
2018-05-31,10.2683
2018-06-01,10.2943
2018-06-04,10.2583
2018-06-05,10.2498
2018-06-06,10.276
2018-06-07,10.2515
2018-06-08,10.287
2018-06-11,10.253
2018-06-12,10.155
2018-06-13,10.136
2018-06-14,10.16
2018-06-15,10.1713
2018-06-18,10.2223
2018-06-19,10.3227
2018-06-20,10.2755
2018-06-21,10.3248
2018-06-22,10.295
2018-06-25,10.3623
2018-06-26,10.3383
2018-06-27,10.3503
2018-06-28,10.4191
2018-06-29,10.453
2018-07-02,10.449
2018-07-03,10.3123
2018-07-04,10.251
2018-07-05,10.2363
2018-07-06,10.291
2018-07-09,10.2548
2018-07-10,10.2438
2018-07-11,10.2745
2018-07-12,10.335
2018-07-13,10.376
2018-07-16,10.3333
2018-07-17,10.3003
2018-07-18,10.312
2018-07-19,10.3565
2018-07-20,10.3908
2018-07-23,10.3488
2018-07-24,10.3278
2018-07-25,10.2925
2018-07-26,10.2738
2018-07-27,10.301
2018-07-30,10.2503
2018-07-31,10.257
2018-08-01,10.2995
2018-08-02,10.3003
2018-08-03,10.3193
2018-08-06,10.304
2018-08-07,10.3245
2018-08-08,10.3878
2018-08-09,10.3875
2018-08-10,10.4258
2018-08-13,10.4093
2018-08-14,10.3718
2018-08-15,10.4033
2018-08-16,10.4663
2018-08-17,10.4935
2018-08-20,10.4918
2018-08-21,10.5118
2018-08-22,10.5075
2018-08-23,10.5183
2018-08-24,10.5843
2018-08-27,10.6095
2018-08-28,10.6633
2018-08-29,10.6923
2018-08-30,10.644
2018-08-31,10.6205
2018-09-03,10.5806
2018-09-04,10.5645
2018-09-05,10.5408
2018-09-06,10.5908
2018-09-07,10.5163
2018-09-10,10.4683
2018-09-11,10.485
2018-09-12,10.474
2018-09-13,10.446
2018-09-14,10.546
2018-09-17,10.4527
2018-09-18,10.4179
2018-09-19,10.3878
2018-09-20,10.335
2018-09-21,10.3315
2018-09-24,10.3563
2018-09-25,10.3515
2018-09-26,10.3763
2018-09-27,10.3208
2018-09-28,10.309
2018-10-01,10.33
2018-10-02,10.3815
2018-10-03,10.3795
2018-10-04,10.4015
2018-10-05,10.4438
2018-10-08,10.4463
2018-10-09,10.4445
2018-10-10,10.48
2018-10-11,10.412
2018-10-12,10.3593
2018-10-15,10.392
2018-10-16,10.3165
2018-10-17,10.3148
2018-10-18,10.333
2018-10-19,10.3358
2018-10-22,10.331
2018-10-23,10.3606
2018-10-24,10.359
2018-10-25,10.393
2018-10-26,10.4025
2018-10-29,10.391
2018-10-30,10.42
2018-10-31,10.4015
2018-11-01,10.3158
2018-11-02,10.3123
2018-11-05,10.3268
2018-11-06,10.347
2018-11-07,10.3313
2018-11-08,10.2528
2018-11-09,10.2648
2018-11-12,10.2705
2018-11-13,10.2284
2018-11-14,10.2685
2018-11-15,10.2553
2018-11-16,10.262
2018-11-19,10.2815
2018-11-20,10.3133
2018-11-21,10.3143
2018-11-22,10.3035
2018-11-23,10.3043
2018-11-26,10.293
2018-11-27,10.2823
2018-11-28,10.2544
2018-11-29,10.317
2018-11-30,10.3195
2018-12-03,10.2355
2018-12-04,10.2293
2018-12-05,10.1753
2018-12-06,10.2355
2018-12-07,10.2665
2018-12-10,10.333
2018-12-11,10.297
2018-12-12,10.3595
2018-12-13,10.302
2018-12-14,10.261
2018-12-17,10.2725
2018-12-18,10.276
2018-12-19,10.3393
2018-12-20,10.253
2018-12-21,10.2733
2018-12-24,10.3428
2018-12-27,10.2725
2018-12-28,10.2773
2018-12-31,10.2548
2019-01-02,10.2145
2019-01-03,10.2808
2019-01-04,10.246
2019-01-07,10.2235
2019-01-08,10.1855
2019-01-09,10.2268
2019-01-10,10.2303
2019-01-11,10.2338
2019-01-14,10.2493
2019-01-15,10.2403
2019-01-16,10.2488
2019-01-17,10.2858
2019-01-18,10.2515
2019-01-21,10.2515
2019-01-22,10.2538
2019-01-23,10.245
2019-01-24,10.2843
2019-01-25,10.298
2019-01-28,10.3503
2019-01-29,10.3508
2019-01-30,10.3843
2019-01-31,10.373
2019-02-01,10.3878
2019-02-04,10.4113
2019-02-05,10.3998
2019-02-06,10.4258
2019-02-07,10.473
2019-02-08,10.4973
2019-02-11,10.4858
2019-02-12,10.4725
2019-02-13,10.4083
2019-02-14,10.4775
2019-02-15,10.4813
2019-02-18,10.4685
2019-02-19,10.6
2019-02-20,10.5703
2019-02-21,10.6188
2019-02-22,10.5998
2019-02-25,10.5793
2019-02-26,10.5858
2019-02-27,10.5443
2019-02-28,10.4844
2019-03-01,10.5003
2019-03-04,10.5543
2019-03-05,10.5523
2019-03-06,10.5375
2019-03-07,10.5625
2019-03-08,10.6316
2019-03-11,10.5802
2019-03-12,10.5715
2019-03-13,10.554
2019-03-14,10.5373
2019-03-15,10.4964
2019-03-18,10.4643
2019-03-19,10.4485
2019-03-20,10.431
2019-03-21,10.4288
2019-03-22,10.4723
2019-03-25,10.445
2019-03-26,10.4263
2019-03-27,10.4298
2019-03-28,10.476
2019-03-29,10.398
2019-04-01,10.42
2019-04-02,10.4418
2019-04-03,10.43
2019-04-04,10.4075
2019-04-05,10.426
2019-04-08,10.4325
2019-04-09,10.425
2019-04-10,10.44
2019-04-11,10.437
2019-04-12,10.4788
2019-04-15,10.4608
2019-04-16,10.4638
2019-04-17,10.4408
2019-04-18,10.476
2019-04-23,10.507
2019-04-24,10.501
2019-04-25,10.6295
2019-04-26,10.5738
2019-04-29,10.6113
2019-04-30,10.635
2019-05-02,10.685
2019-05-03,10.7043
2019-05-06,10.7258
2019-05-07,10.7145
2019-05-08,10.7494
2019-05-09,10.7973
2019-05-10,10.8108
2019-05-13,10.8323
2019-05-14,10.779
2019-05-15,10.7688
2019-05-16,10.759
2019-05-17,10.766
2019-05-20,10.7668
2019-05-21,10.7743
2019-05-22,10.76
2019-05-23,10.7373
2019-05-24,10.7098
2019-05-27,10.7148
2019-05-28,10.6865
2019-05-29,10.7063
2019-05-30,10.6323
2019-05-31,10.639
2019-06-03,10.618
2019-06-04,10.626
2019-06-05,10.6255
2019-06-06,10.6175
2019-06-07,10.6562
2019-06-10,10.6455
2019-06-11,10.6828
2019-06-12,10.68
2019-06-13,10.6968
2019-06-14,10.639
2019-06-17,10.6495
2019-06-18,10.6413
2019-06-19,10.6868
2019-06-20,10.6348
2019-06-21,10.6308
2019-06-24,10.6078
2019-06-25,10.532
2019-06-26,10.5435
2019-06-27,10.5488
2019-06-28,10.5633
2019-07-01,10.545
2019-07-02,10.5565
2019-07-03,10.5155
2019-07-04,10.5208
2019-07-05,10.5575
2019-07-08,10.5973
2019-07-09,10.6338
2019-07-10,10.6093
2019-07-11,10.5808
2019-07-12,10.5515
2019-07-15,10.5563
2019-07-16,10.5405
2019-07-17,10.5168
2019-07-18,10.504
2019-07-19,10.5195
2019-07-22,10.544
2019-07-23,10.5695
2019-07-24,10.5293
2019-07-25,10.4947
2019-07-26,10.5585
2019-07-29,10.5773
2019-07-30,10.6453
2019-07-31,10.6645
2019-08-01,10.6868
2019-08-02,10.7223
2019-08-05,10.7603
2019-08-06,10.7267
2019-08-07,10.7673
2019-08-08,10.753
2019-08-09,10.6972
2019-08-12,10.7315
2019-08-13,10.7088
2019-08-14,10.7313
2019-08-15,10.7305
2019-08-16,10.712
2019-08-19,10.7268
2019-08-20,10.7653
2019-08-21,10.6983
2019-08-22,10.7188
2019-08-23,10.7165
2019-08-26,10.7515
2019-08-27,10.705
2019-08-28,10.7545
2019-08-29,10.779
2019-08-30,10.8395
2019-09-02,10.747
2019-09-03,10.8128
2019-09-04,10.753
2019-09-05,10.6825
2019-09-06,10.635
2019-09-09,10.6598
2019-09-10,10.7445
2019-09-11,10.6563
2019-09-12,10.6315
2019-09-13,10.6485
2019-09-16,10.6703
2019-09-17,10.699
2019-09-18,10.7298
2019-09-19,10.7223
2019-09-20,10.7113
2019-09-23,10.7143
2019-09-24,10.6763
2019-09-25,10.6825
2019-09-26,10.6598
2019-09-27,10.701
2019-09-30,10.6958
2019-10-01,10.8043
2019-10-02,10.8118
2019-10-03,10.833
2019-10-04,10.8105
2019-10-07,10.891
2019-10-08,10.8703
2019-10-09,10.9173
2019-10-10,10.8415
2019-10-11,10.8448
2019-10-14,10.8523
2019-10-15,10.8225
2019-10-16,10.8358
2019-10-17,10.8105
2019-10-18,10.7742
2019-10-21,10.7311
2019-10-22,10.7303
2019-10-23,10.7385
2019-10-24,10.6963
2019-10-25,10.7445
2019-10-28,10.7503
2019-10-29,10.7923
2019-10-30,10.801
2019-10-31,10.7498
2019-11-01,10.6993
2019-11-04,10.7035
2019-11-05,10.6943
2019-11-06,10.644
2019-11-07,10.6253
2019-11-08,10.7025
2019-11-11,10.7085
2019-11-12,10.7003
2019-11-13,10.7353
2019-11-14,10.694
2019-11-15,10.6518
2019-11-18,10.6603
2019-11-19,10.6475
2019-11-20,10.6935
2019-11-21,10.6568
2019-11-22,10.6265
2019-11-25,10.6158
2019-11-26,10.5808
2019-11-27,10.558
2019-11-28,10.5463
2019-11-29,10.4995
2019-12-02,10.5385
2019-12-03,10.5653
2019-12-04,10.5523
2019-12-05,10.5418
2019-12-06,10.5183
2019-12-09,10.5435
2019-12-10,10.5565
2019-12-11,10.4595
2019-12-12,10.4495
2019-12-13,10.449
2019-12-16,10.4213
2019-12-17,10.4718
2019-12-18,10.4483
2019-12-19,10.478
2019-12-20,10.434
2019-12-23,10.4473
2019-12-24,10.4553
2019-12-27,10.4363
2019-12-30,10.44
2019-12-31,10.4468
2020-01-02,10.4728
2020-01-03,10.4858
2020-01-06,10.5308
2020-01-07,10.5423
2020-01-08,10.5108
2020-01-09,10.533
2020-01-10,10.551
2020-01-13,10.5598
2020-01-14,10.5248
2020-01-15,10.559
2020-01-16,10.5678
2020-01-17,10.545
2020-01-20,10.5548
2020-01-21,10.5523
2020-01-22,10.5528
2020-01-23,10.5473
2020-01-24,10.5363
2020-01-27,10.5795
2020-01-28,10.5993
2020-01-29,10.5753
2020-01-30,10.6398
2020-01-31,10.6768
2020-02-03,10.6808
2020-02-04,10.6278
2020-02-05,10.545
2020-02-06,10.555
2020-02-07,10.5455
2020-02-10,10.5728
2020-02-11,10.5373
2020-02-12,10.4965
2020-02-13,10.4823
2020-02-14,10.5085
2020-02-17,10.5323
2020-02-18,10.5498
2020-02-19,10.5743
2020-02-20,10.5985
2020-02-21,10.569
2020-02-24,10.5833
2020-02-25,10.5688
2020-02-26,10.5813
2020-02-27,10.5753
2020-02-28,10.6738
2020-03-02,10.6063
2020-03-03,10.559
2020-03-04,10.5555
2020-03-05,10.5915
2020-03-06,10.6145
2020-03-09,10.7203
2020-03-10,10.8015
2020-03-11,10.7238
2020-03-12,10.8945
2020-03-13,10.8453
2020-03-16,10.8998
2020-03-17,10.9593
2020-03-18,11.0223
2020-03-19,11.1523
2020-03-20,11.0598
2020-03-23,11.0715
2020-03-24,11.0888
2020-03-25,10.9638
2020-03-26,11.007
2020-03-27,11.0158
2020-03-30,11.0375
2020-03-31,11.0613
2020-04-01,10.9368
2020-04-02,10.9265
2020-04-03,10.952
2020-04-06,10.9788
2020-04-07,10.8788
2020-04-08,10.9385
2020-04-09,10.9455
2020-04-14,10.9158
2020-04-15,10.9323
2020-04-16,10.8895
2020-04-17,10.8548
2020-04-20,10.8623
2020-04-21,10.9543
2020-04-22,10.9423
2020-04-23,10.8883
2020-04-24,10.8723
2020-04-27,10.8748
2020-04-28,10.748
2020-04-29,10.7338
2020-04-30,10.6639
2020-05-04,10.8113
2020-05-05,10.698
2020-05-06,10.6278
2020-05-07,10.62
2020-05-08,10.5875
2020-05-11,10.5998
2020-05-12,10.5968
2020-05-13,10.5843
2020-05-14,10.6418
2020-05-15,10.6695
2020-05-18,10.6103
2020-05-19,10.5685
2020-05-20,10.5568
2020-05-21,10.53
2020-05-22,10.5373
2020-05-25,10.549
2020-05-26,10.5563
2020-05-27,10.5608
2020-05-28,10.548
2020-05-29,10.487
2020-06-01,10.4635
2020-06-02,10.452
2020-06-03,10.4588
2020-06-04,10.4172
2020-06-05,10.425
2020-06-08,10.3978
2020-06-09,10.4188
2020-06-10,10.4605
2020-06-11,10.5018
2020-06-12,10.5103
2020-06-15,10.5393
2020-06-16,10.5136
2020-06-17,10.5123
2020-06-18,10.5525
2020-06-19,10.567
2020-06-22,10.5525
2020-06-23,10.5175
2020-06-24,10.5145
2020-06-25,10.4865
2020-06-26,10.4773
2020-06-29,10.478
2020-06-30,10.4948
2020-07-01,10.4965
